,PARAMETER,YEAR,MONTH,Surface Pressure (kPa),DATE,PARAMETER,YEAR,MONTH,Dew/Frost Point at 2 Meters (C),DATE,PARAMETER,YEAR,MONTH,Precipitation Corrected (mm/day),DATE,PARAMETER,YEAR,MONTH, Precipitation Corrected Sum (mm),DATE,PARAMETER,YEAR,MONTH,Wind Speed at 2 Meters (m/s),DATE,PARAMETER,YEAR,MONTH,Relative Humidity at 2 Meters (%),DATE,PARAMETER,YEAR,MONTH,Specific Humidity at 2 Meters (g/kg),DATE,PARAMETER,YEAR,MONTH,Temperature at 2 Meters (C),DATE,PARAMETER,YEAR,MONTH,Wind Speed at 10 Meters (m/s),DATE
60,PS,1995,JAN,98.93,1/1/1995,T2MDEW,1995,JAN,5.56,1/1/1995,PRECTOTCORR,1995,JAN,0,1/1/1995,PRECTOTCORR_SUM,1995,JAN,0,1/1/1995,WS2M,1995,JAN,2.3,1/1/1995,RH2M,1995,JAN,37.38,1/1/1995,QV2M,1995,JAN,5.86,1/1/1995,T2M,1995,JAN,22.4,1/1/1995,WS10M,1995,JAN,3.56,1/1/1995
61,PS,1995,FEB,98.84,2/1/1995,T2MDEW,1995,FEB,3.76,2/1/1995,PRECTOTCORR,1995,FEB,0,2/1/1995,PRECTOTCORR_SUM,1995,FEB,0,2/1/1995,WS2M,1995,FEB,2.48,2/1/1995,RH2M,1995,FEB,28.44,2/1/1995,QV2M,1995,FEB,5.31,2/1/1995,T2M,1995,FEB,25.05,2/1/1995,WS10M,1995,FEB,3.73,2/1/1995
62,PS,1995,MAR,98.46,3/1/1995,T2MDEW,1995,MAR,12.49,3/1/1995,PRECTOTCORR,1995,MAR,0,3/1/1995,PRECTOTCORR_SUM,1995,MAR,0,3/1/1995,WS2M,1995,MAR,2.28,3/1/1995,RH2M,1995,MAR,35.56,3/1/1995,QV2M,1995,MAR,9.77,3/1/1995,T2M,1995,MAR,31.37,3/1/1995,WS10M,1995,MAR,3.28,3/1/1995
63,PS,1995,APR,98.33,4/1/1995,T2MDEW,1995,APR,19.19,4/1/1995,PRECTOTCORR,1995,APR,0,4/1/1995,PRECTOTCORR_SUM,1995,APR,73.83,4/1/1995,WS2M,1995,APR,2.33,4/1/1995,RH2M,1995,APR,52.44,4/1/1995,QV2M,1995,APR,14.65,4/1/1995,T2M,1995,APR,31.63,4/1/1995,WS10M,1995,APR,3.3,4/1/1995
64,PS,1995,MAY,98.53,5/1/1995,T2MDEW,1995,MAY,21.24,5/1/1995,PRECTOTCORR,1995,MAY,0,5/1/1995,PRECTOTCORR_SUM,1995,MAY,36.91,5/1/1995,WS2M,1995,MAY,2.43,5/1/1995,RH2M,1995,MAY,60.12,5/1/1995,QV2M,1995,MAY,16.17,5/1/1995,T2M,1995,MAY,30.63,5/1/1995,WS10M,1995,MAY,3.43,5/1/1995
65,PS,1995,JUN,98.68,6/1/1995,T2MDEW,1995,JUN,21.44,6/1/1995,PRECTOTCORR,1995,JUN,0,6/1/1995,PRECTOTCORR_SUM,1995,JUN,58.01,6/1/1995,WS2M,1995,JUN,2.41,6/1/1995,RH2M,1995,JUN,63.19,6/1/1995,QV2M,1995,JUN,16.3,6/1/1995,T2M,1995,JUN,29.79,6/1/1995,WS10M,1995,JUN,3.48,6/1/1995
66,PS,1995,JUL,98.64,7/1/1995,T2MDEW,1995,JUL,21.77,7/1/1995,PRECTOTCORR,1995,JUL,5.27,7/1/1995,PRECTOTCORR_SUM,1995,JUL,126.56,7/1/1995,WS2M,1995,JUL,1.98,7/1/1995,RH2M,1995,JUL,71.19,7/1/1995,QV2M,1995,JUL,16.66,7/1/1995,T2M,1995,JUL,27.96,7/1/1995,WS10M,1995,JUL,2.98,7/1/1995
67,PS,1995,AUG,98.74,8/1/1995,T2MDEW,1995,AUG,22.95,8/1/1995,PRECTOTCORR,1995,AUG,10.55,8/1/1995,PRECTOTCORR_SUM,1995,AUG,295.31,8/1/1995,WS2M,1995,AUG,1.52,8/1/1995,RH2M,1995,AUG,83.44,8/1/1995,QV2M,1995,AUG,17.82,8/1/1995,T2M,1995,AUG,26.16,8/1/1995,WS10M,1995,AUG,2.43,8/1/1995
68,PS,1995,SEP,98.79,9/1/1995,T2MDEW,1995,SEP,22.74,9/1/1995,PRECTOTCORR,1995,SEP,0,9/1/1995,PRECTOTCORR_SUM,1995,SEP,79.1,9/1/1995,WS2M,1995,SEP,1.29,9/1/1995,RH2M,1995,SEP,80.31,9/1/1995,QV2M,1995,SEP,17.58,9/1/1995,T2M,1995,SEP,26.67,9/1/1995,WS10M,1995,SEP,2.11,9/1/1995
69,PS,1995,OCT,98.65,10/1/1995,T2MDEW,1995,OCT,21.3,10/1/1995,PRECTOTCORR,1995,OCT,0,10/1/1995,PRECTOTCORR_SUM,1995,OCT,21.09,10/1/1995,WS2M,1995,OCT,1.52,10/1/1995,RH2M,1995,OCT,71,10/1/1995,QV2M,1995,OCT,16.24,10/1/1995,T2M,1995,OCT,27.68,10/1/1995,WS10M,1995,OCT,2.46,10/1/1995
70,PS,1995,NOV,98.78,11/1/1995,T2MDEW,1995,NOV,12.73,11/1/1995,PRECTOTCORR,1995,NOV,0,11/1/1995,PRECTOTCORR_SUM,1995,NOV,0,11/1/1995,WS2M,1995,NOV,1.88,11/1/1995,RH2M,1995,NOV,52,11/1/1995,QV2M,1995,NOV,9.83,11/1/1995,T2M,1995,NOV,25.15,11/1/1995,WS10M,1995,NOV,3.07,11/1/1995
71,PS,1995,DEC,98.82,12/1/1995,T2MDEW,1995,DEC,10.28,12/1/1995,PRECTOTCORR,1995,DEC,0,12/1/1995,PRECTOTCORR_SUM,1995,DEC,0,12/1/1995,WS2M,1995,DEC,2.05,12/1/1995,RH2M,1995,DEC,44.62,12/1/1995,QV2M,1995,DEC,8.18,12/1/1995,T2M,1995,DEC,24.94,12/1/1995,WS10M,1995,DEC,3.28,12/1/1995
72,PS,1996,JAN,98.62,1/1/1996,T2MDEW,1996,JAN,5.62,1/1/1996,PRECTOTCORR,1996,JAN,0,1/1/1996,PRECTOTCORR_SUM,1996,JAN,0,1/1/1996,WS2M,1996,JAN,1.96,1/1/1996,RH2M,1996,JAN,32.25,1/1/1996,QV2M,1996,JAN,5.98,1/1/1996,T2M,1996,JAN,25.57,1/1/1996,WS10M,1996,JAN,3.13,1/1/1996
73,PS,1996,FEB,98.5,2/1/1996,T2MDEW,1996,FEB,6.67,2/1/1996,PRECTOTCORR,1996,FEB,0,2/1/1996,PRECTOTCORR_SUM,1996,FEB,0,2/1/1996,WS2M,1996,FEB,2.03,2/1/1996,RH2M,1996,FEB,29.62,2/1/1996,QV2M,1996,FEB,6.9,2/1/1996,T2M,1996,FEB,28.62,2/1/1996,WS10M,1996,FEB,3.09,2/1/1996
74,PS,1996,MAR,98.4,3/1/1996,T2MDEW,1996,MAR,9.84,3/1/1996,PRECTOTCORR,1996,MAR,0,3/1/1996,PRECTOTCORR_SUM,1996,MAR,0,3/1/1996,WS2M,1996,MAR,1.98,3/1/1996,RH2M,1996,MAR,30.69,3/1/1996,QV2M,1996,MAR,8.54,3/1/1996,T2M,1996,MAR,31.79,3/1/1996,WS10M,1996,MAR,2.86,3/1/1996
75,PS,1996,APR,98.34,4/1/1996,T2MDEW,1996,APR,16.26,4/1/1996,PRECTOTCORR,1996,APR,0,4/1/1996,PRECTOTCORR_SUM,1996,APR,10.55,4/1/1996,WS2M,1996,APR,2.45,4/1/1996,RH2M,1996,APR,39.88,4/1/1996,QV2M,1996,APR,12.33,4/1/1996,T2M,1996,APR,33.38,4/1/1996,WS10M,1996,APR,3.4,4/1/1996
76,PS,1996,MAY,98.51,5/1/1996,T2MDEW,1996,MAY,21.08,5/1/1996,PRECTOTCORR,1996,MAY,5.27,5/1/1996,PRECTOTCORR_SUM,1996,MAY,94.92,5/1/1996,WS2M,1996,MAY,2.63,5/1/1996,RH2M,1996,MAY,58.25,5/1/1996,QV2M,1996,MAY,16.05,5/1/1996,T2M,1996,MAY,31.25,5/1/1996,WS10M,1996,MAY,3.71,5/1/1996
77,PS,1996,JUN,98.73,6/1/1996,T2MDEW,1996,JUN,22.43,6/1/1996,PRECTOTCORR,1996,JUN,5.27,6/1/1996,PRECTOTCORR_SUM,1996,JUN,152.93,6/1/1996,WS2M,1996,JUN,1.99,6/1/1996,RH2M,1996,JUN,73.38,6/1/1996,QV2M,1996,JUN,17.27,6/1/1996,T2M,1996,JUN,28.01,6/1/1996,WS10M,1996,JUN,2.96,6/1/1996
78,PS,1996,JUL,98.85,7/1/1996,T2MDEW,1996,JUL,22.04,7/1/1996,PRECTOTCORR,1996,JUL,5.27,7/1/1996,PRECTOTCORR_SUM,1996,JUL,168.75,7/1/1996,WS2M,1996,JUL,1.88,7/1/1996,RH2M,1996,JUL,76.62,7/1/1996,QV2M,1996,JUL,16.85,7/1/1996,T2M,1996,JUL,26.81,7/1/1996,WS10M,1996,JUL,2.88,7/1/1996
79,PS,1996,AUG,98.8,8/1/1996,T2MDEW,1996,AUG,22.54,8/1/1996,PRECTOTCORR,1996,AUG,5.27,8/1/1996,PRECTOTCORR_SUM,1996,AUG,221.48,8/1/1996,WS2M,1996,AUG,1.6,8/1/1996,RH2M,1996,AUG,82.06,8/1/1996,QV2M,1996,AUG,17.4,8/1/1996,T2M,1996,AUG,26.05,8/1/1996,WS10M,1996,AUG,2.55,8/1/1996
80,PS,1996,SEP,98.73,9/1/1996,T2MDEW,1996,SEP,22.78,9/1/1996,PRECTOTCORR,1996,SEP,5.27,9/1/1996,PRECTOTCORR_SUM,1996,SEP,205.66,9/1/1996,WS2M,1996,SEP,1.4,9/1/1996,RH2M,1996,SEP,82.06,9/1/1996,QV2M,1996,SEP,17.64,9/1/1996,T2M,1996,SEP,26.28,9/1/1996,WS10M,1996,SEP,2.28,9/1/1996
81,PS,1996,OCT,98.73,10/1/1996,T2MDEW,1996,OCT,20.44,10/1/1996,PRECTOTCORR,1996,OCT,0,10/1/1996,PRECTOTCORR_SUM,1996,OCT,21.09,10/1/1996,WS2M,1996,OCT,1.45,10/1/1996,RH2M,1996,OCT,72.69,10/1/1996,QV2M,1996,OCT,15.5,10/1/1996,T2M,1996,OCT,26.3,10/1/1996,WS10M,1996,OCT,2.38,10/1/1996
82,PS,1996,NOV,98.76,11/1/1996,T2MDEW,1996,NOV,11.28,11/1/1996,PRECTOTCORR,1996,NOV,0,11/1/1996,PRECTOTCORR_SUM,1996,NOV,0,11/1/1996,WS2M,1996,NOV,1.84,11/1/1996,RH2M,1996,NOV,51.25,11/1/1996,QV2M,1996,NOV,8.54,11/1/1996,T2M,1996,NOV,23.44,11/1/1996,WS10M,1996,NOV,3.05,11/1/1996
83,PS,1996,DEC,98.77,12/1/1996,T2MDEW,1996,DEC,9.51,12/1/1996,PRECTOTCORR,1996,DEC,0,12/1/1996,PRECTOTCORR_SUM,1996,DEC,0,12/1/1996,WS2M,1996,DEC,1.8,12/1/1996,RH2M,1996,DEC,45.5,12/1/1996,QV2M,1996,DEC,7.69,12/1/1996,T2M,1996,DEC,23.74,12/1/1996,WS10M,1996,DEC,2.98,12/1/1996
84,PS,1997,JAN,98.74,1/1/1997,T2MDEW,1997,JAN,5.17,1/1/1997,PRECTOTCORR,1997,JAN,0,1/1/1997,PRECTOTCORR_SUM,1997,JAN,0,1/1/1997,WS2M,1997,JAN,2.05,1/1/1997,RH2M,1997,JAN,32.81,1/1/1997,QV2M,1997,JAN,5.86,1/1/1997,T2M,1997,JAN,24.52,1/1/1997,WS10M,1997,JAN,3.22,1/1/1997
85,PS,1997,FEB,98.89,2/1/1997,T2MDEW,1997,FEB,-0.31,2/1/1997,PRECTOTCORR,1997,FEB,0,2/1/1997,PRECTOTCORR_SUM,1997,FEB,0,2/1/1997,WS2M,1997,FEB,2.98,2/1/1997,RH2M,1997,FEB,22.31,2/1/1997,QV2M,1997,FEB,3.91,2/1/1997,T2M,1997,FEB,24.18,2/1/1997,WS10M,1997,FEB,4.41,2/1/1997
86,PS,1997,MAR,98.55,3/1/1997,T2MDEW,1997,MAR,10.68,3/1/1997,PRECTOTCORR,1997,MAR,0,3/1/1997,PRECTOTCORR_SUM,1997,MAR,36.91,3/1/1997,WS2M,1997,MAR,2.35,3/1/1997,RH2M,1997,MAR,36.94,3/1/1997,QV2M,1997,MAR,9.52,3/1/1997,T2M,1997,MAR,29.37,3/1/1997,WS10M,1997,MAR,3.41,3/1/1997
87,PS,1997,APR,98.53,4/1/1997,T2MDEW,1997,APR,18.23,4/1/1997,PRECTOTCORR,1997,APR,0,4/1/1997,PRECTOTCORR_SUM,1997,APR,15.82,4/1/1997,WS2M,1997,APR,2.77,4/1/1997,RH2M,1997,APR,50.69,4/1/1997,QV2M,1997,APR,13.67,4/1/1997,T2M,1997,APR,31.06,4/1/1997,WS10M,1997,APR,3.84,4/1/1997
88,PS,1997,MAY,98.7,5/1/1997,T2MDEW,1997,MAY,21.71,5/1/1997,PRECTOTCORR,1997,MAY,0,5/1/1997,PRECTOTCORR_SUM,1997,MAY,73.83,5/1/1997,WS2M,1997,MAY,2.18,5/1/1997,RH2M,1997,MAY,66.25,5/1/1997,QV2M,1997,MAY,16.54,5/1/1997,T2M,1997,MAY,29.3,5/1/1997,WS10M,1997,MAY,3.1,5/1/1997
89,PS,1997,JUN,98.71,6/1/1997,T2MDEW,1997,JUN,22.06,6/1/1997,PRECTOTCORR,1997,JUN,5.27,6/1/1997,PRECTOTCORR_SUM,1997,JUN,131.84,6/1/1997,WS2M,1997,JUN,1.87,6/1/1997,RH2M,1997,JUN,69.69,6/1/1997,QV2M,1997,JUN,16.91,6/1/1997,T2M,1997,JUN,28.66,6/1/1997,WS10M,1997,JUN,2.76,6/1/1997
90,PS,1997,JUL,98.84,7/1/1997,T2MDEW,1997,JUL,22.54,7/1/1997,PRECTOTCORR,1997,JUL,5.27,7/1/1997,PRECTOTCORR_SUM,1997,JUL,147.66,7/1/1997,WS2M,1997,JUL,1.85,7/1/1997,RH2M,1997,JUL,76.75,7/1/1997,QV2M,1997,JUL,17.4,7/1/1997,T2M,1997,JUL,27.32,7/1/1997,WS10M,1997,JUL,2.84,7/1/1997
91,PS,1997,AUG,98.89,8/1/1997,T2MDEW,1997,AUG,22.73,8/1/1997,PRECTOTCORR,1997,AUG,5.27,8/1/1997,PRECTOTCORR_SUM,1997,AUG,184.57,8/1/1997,WS2M,1997,AUG,1.38,8/1/1997,RH2M,1997,AUG,80.25,8/1/1997,QV2M,1997,AUG,17.58,8/1/1997,T2M,1997,AUG,26.66,8/1/1997,WS10M,1997,AUG,2.22,8/1/1997
92,PS,1997,SEP,98.78,9/1/1997,T2MDEW,1997,SEP,22.51,9/1/1997,PRECTOTCORR,1997,SEP,5.27,9/1/1997,PRECTOTCORR_SUM,1997,SEP,89.65,9/1/1997,WS2M,1997,SEP,1.37,9/1/1997,RH2M,1997,SEP,76.69,9/1/1997,QV2M,1997,SEP,17.4,9/1/1997,T2M,1997,SEP,27.37,9/1/1997,WS10M,1997,SEP,2.24,9/1/1997
93,PS,1997,OCT,98.64,10/1/1997,T2MDEW,1997,OCT,21.19,10/1/1997,PRECTOTCORR,1997,OCT,0,10/1/1997,PRECTOTCORR_SUM,1997,OCT,26.37,10/1/1997,WS2M,1997,OCT,1.66,10/1/1997,RH2M,1997,OCT,65,10/1/1997,QV2M,1997,OCT,16.05,10/1/1997,T2M,1997,OCT,29.26,10/1/1997,WS10M,1997,OCT,2.59,10/1/1997
94,PS,1997,NOV,98.68,11/1/1997,T2MDEW,1997,NOV,12.19,11/1/1997,PRECTOTCORR,1997,NOV,0,11/1/1997,PRECTOTCORR_SUM,1997,NOV,0,11/1/1997,WS2M,1997,NOV,1.7,11/1/1997,RH2M,1997,NOV,43.75,11/1/1997,QV2M,1997,NOV,9.52,11/1/1997,T2M,1997,NOV,27.8,11/1/1997,WS10M,1997,NOV,2.76,11/1/1997
95,PS,1997,DEC,98.87,12/1/1997,T2MDEW,1997,DEC,5.91,12/1/1997,PRECTOTCORR,1997,DEC,0,12/1/1997,PRECTOTCORR_SUM,1997,DEC,0,12/1/1997,WS2M,1997,DEC,1.91,12/1/1997,RH2M,1997,DEC,34.19,12/1/1997,QV2M,1997,DEC,6.16,12/1/1997,T2M,1997,DEC,24.58,12/1/1997,WS10M,1997,DEC,3.05,12/1/1997
96,PS,1998,JAN,98.81,1/1/1998,T2MDEW,1998,JAN,2.43,1/1/1998,PRECTOTCORR,1998,JAN,0,1/1/1998,PRECTOTCORR_SUM,1998,JAN,0,1/1/1998,WS2M,1998,JAN,2.51,1/1/1998,RH2M,1998,JAN,26.06,1/1/1998,QV2M,1998,JAN,4.94,1/1/1998,T2M,1998,JAN,24.63,1/1/1998,WS10M,1998,JAN,3.82,1/1/1998
97,PS,1998,FEB,98.83,2/1/1998,T2MDEW,1998,FEB,3.15,2/1/1998,PRECTOTCORR,1998,FEB,0,2/1/1998,PRECTOTCORR_SUM,1998,FEB,0,2/1/1998,WS2M,1998,FEB,2.64,2/1/1998,RH2M,1998,FEB,22.75,2/1/1998,QV2M,1998,FEB,5.25,2/1/1998,T2M,1998,FEB,28.4,2/1/1998,WS10M,1998,FEB,3.88,2/1/1998
98,PS,1998,MAR,98.6,3/1/1998,T2MDEW,1998,MAR,-1.14,3/1/1998,PRECTOTCORR,1998,MAR,0,3/1/1998,PRECTOTCORR_SUM,1998,MAR,0,3/1/1998,WS2M,1998,MAR,2.81,3/1/1998,RH2M,1998,MAR,15.38,3/1/1998,QV2M,1998,MAR,3.97,3/1/1998,T2M,1998,MAR,29.68,3/1/1998,WS10M,1998,MAR,4.08,3/1/1998
99,PS,1998,APR,98.35,4/1/1998,T2MDEW,1998,APR,17.86,4/1/1998,PRECTOTCORR,1998,APR,0,4/1/1998,PRECTOTCORR_SUM,1998,APR,26.37,4/1/1998,WS2M,1998,APR,2.41,4/1/1998,RH2M,1998,APR,41.25,4/1/1998,QV2M,1998,APR,13.61,4/1/1998,T2M,1998,APR,34.5,4/1/1998,WS10M,1998,APR,3.38,4/1/1998
100,PS,1998,MAY,98.59,5/1/1998,T2MDEW,1998,MAY,22.83,5/1/1998,PRECTOTCORR,1998,MAY,5.27,5/1/1998,PRECTOTCORR_SUM,1998,MAY,147.66,5/1/1998,WS2M,1998,MAY,2.59,5/1/1998,RH2M,1998,MAY,64.62,5/1/1998,QV2M,1998,MAY,17.76,5/1/1998,T2M,1998,MAY,30.92,5/1/1998,WS10M,1998,MAY,3.67,5/1/1998
101,PS,1998,JUN,98.82,6/1/1998,T2MDEW,1998,JUN,22.63,6/1/1998,PRECTOTCORR,1998,JUN,5.27,6/1/1998,PRECTOTCORR_SUM,1998,JUN,131.84,6/1/1998,WS2M,1998,JUN,2,6/1/1998,RH2M,1998,JUN,71.31,6/1/1998,QV2M,1998,JUN,17.52,6/1/1998,T2M,1998,JUN,28.8,6/1/1998,WS10M,1998,JUN,2.98,6/1/1998
102,PS,1998,JUL,98.79,7/1/1998,T2MDEW,1998,JUL,22.5,7/1/1998,PRECTOTCORR,1998,JUL,5.27,7/1/1998,PRECTOTCORR_SUM,1998,JUL,221.48,7/1/1998,WS2M,1998,JUL,1.69,7/1/1998,RH2M,1998,JUL,76.19,7/1/1998,QV2M,1998,JUL,17.33,7/1/1998,T2M,1998,JUL,27.43,7/1/1998,WS10M,1998,JUL,2.62,7/1/1998
103,PS,1998,AUG,98.75,8/1/1998,T2MDEW,1998,AUG,23.03,8/1/1998,PRECTOTCORR,1998,AUG,5.27,8/1/1998,PRECTOTCORR_SUM,1998,AUG,237.3,8/1/1998,WS2M,1998,AUG,1.63,8/1/1998,RH2M,1998,AUG,83.12,8/1/1998,QV2M,1998,AUG,17.88,8/1/1998,T2M,1998,AUG,26.31,8/1/1998,WS10M,1998,AUG,2.6,8/1/1998
104,PS,1998,SEP,98.75,9/1/1998,T2MDEW,1998,SEP,23.15,9/1/1998,PRECTOTCORR,1998,SEP,5.27,9/1/1998,PRECTOTCORR_SUM,1998,SEP,163.48,9/1/1998,WS2M,1998,SEP,1.27,9/1/1998,RH2M,1998,SEP,82.44,9/1/1998,QV2M,1998,SEP,18.07,9/1/1998,T2M,1998,SEP,26.58,9/1/1998,WS10M,1998,SEP,2.09,9/1/1998
105,PS,1998,OCT,98.74,10/1/1998,T2MDEW,1998,OCT,21.08,10/1/1998,PRECTOTCORR,1998,OCT,0,10/1/1998,PRECTOTCORR_SUM,1998,OCT,21.09,10/1/1998,WS2M,1998,OCT,1.42,10/1/1998,RH2M,1998,OCT,70.69,10/1/1998,QV2M,1998,OCT,16.11,10/1/1998,T2M,1998,OCT,27.56,10/1/1998,WS10M,1998,OCT,2.34,10/1/1998
106,PS,1998,NOV,98.68,11/1/1998,T2MDEW,1998,NOV,14.27,11/1/1998,PRECTOTCORR,1998,NOV,0,11/1/1998,PRECTOTCORR_SUM,1998,NOV,0,11/1/1998,WS2M,1998,NOV,1.52,11/1/1998,RH2M,1998,NOV,50.94,11/1/1998,QV2M,1998,NOV,10.44,11/1/1998,T2M,1998,NOV,26.58,11/1/1998,WS10M,1998,NOV,2.52,11/1/1998
107,PS,1998,DEC,98.8,12/1/1998,T2MDEW,1998,DEC,10.31,12/1/1998,PRECTOTCORR,1998,DEC,0,12/1/1998,PRECTOTCORR_SUM,1998,DEC,0,12/1/1998,WS2M,1998,DEC,2.01,12/1/1998,RH2M,1998,DEC,45.25,12/1/1998,QV2M,1998,DEC,8.18,12/1/1998,T2M,1998,DEC,24.36,12/1/1998,WS10M,1998,DEC,3.22,12/1/1998
108,PS,1999,JAN,98.67,1/1/1999,T2MDEW,1999,JAN,6.25,1/1/1999,PRECTOTCORR,1999,JAN,0,1/1/1999,PRECTOTCORR_SUM,1999,JAN,0,1/1/1999,WS2M,1999,JAN,2.04,1/1/1999,RH2M,1999,JAN,33.56,1/1/1999,QV2M,1999,JAN,6.16,1/1/1999,T2M,1999,JAN,24.85,1/1/1999,WS10M,1999,JAN,3.15,1/1/1999
109,PS,1999,FEB,98.58,2/1/1999,T2MDEW,1999,FEB,5.62,2/1/1999,PRECTOTCORR,1999,FEB,0,2/1/1999,PRECTOTCORR_SUM,1999,FEB,5.27,2/1/1999,WS2M,1999,FEB,2.2,2/1/1999,RH2M,1999,FEB,27.31,2/1/1999,QV2M,1999,FEB,6.35,2/1/1999,T2M,1999,FEB,27.98,2/1/1999,WS10M,1999,FEB,3.29,2/1/1999
110,PS,1999,MAR,98.27,3/1/1999,T2MDEW,1999,MAR,11.7,3/1/1999,PRECTOTCORR,1999,MAR,0,3/1/1999,PRECTOTCORR_SUM,1999,MAR,0,3/1/1999,WS2M,1999,MAR,1.97,3/1/1999,RH2M,1999,MAR,32.69,3/1/1999,QV2M,1999,MAR,9.34,3/1/1999,T2M,1999,MAR,32.3,3/1/1999,WS10M,1999,MAR,2.88,3/1/1999
111,PS,1999,APR,98.41,4/1/1999,T2MDEW,1999,APR,15.49,4/1/1999,PRECTOTCORR,1999,APR,0,4/1/1999,PRECTOTCORR_SUM,1999,APR,15.82,4/1/1999,WS2M,1999,APR,2.27,4/1/1999,RH2M,1999,APR,39,4/1/1999,QV2M,1999,APR,11.72,4/1/1999,T2M,1999,APR,32.98,4/1/1999,WS10M,1999,APR,3.21,4/1/1999
112,PS,1999,MAY,98.52,5/1/1999,T2MDEW,1999,MAY,19.15,5/1/1999,PRECTOTCORR,1999,MAY,5.27,5/1/1999,PRECTOTCORR_SUM,1999,MAY,105.47,5/1/1999,WS2M,1999,MAY,1.98,5/1/1999,RH2M,1999,MAY,50.19,5/1/1999,QV2M,1999,MAY,14.34,5/1/1999,T2M,1999,MAY,32.08,5/1/1999,WS10M,1999,MAY,2.86,5/1/1999
113,PS,1999,JUN,98.63,6/1/1999,T2MDEW,1999,JUN,20.51,6/1/1999,PRECTOTCORR,1999,JUN,0,6/1/1999,PRECTOTCORR_SUM,1999,JUN,68.55,6/1/1999,WS2M,1999,JUN,2.07,6/1/1999,RH2M,1999,JUN,59.12,6/1/1999,QV2M,1999,JUN,15.44,6/1/1999,T2M,1999,JUN,30.24,6/1/1999,WS10M,1999,JUN,3.05,6/1/1999
114,PS,1999,JUL,98.78,7/1/1999,T2MDEW,1999,JUL,21.67,7/1/1999,PRECTOTCORR,1999,JUL,5.27,7/1/1999,PRECTOTCORR_SUM,1999,JUL,116.02,7/1/1999,WS2M,1999,JUL,1.85,7/1/1999,RH2M,1999,JUL,72.62,7/1/1999,QV2M,1999,JUL,16.48,7/1/1999,T2M,1999,JUL,27.41,7/1/1999,WS10M,1999,JUL,2.83,7/1/1999
115,PS,1999,AUG,98.79,8/1/1999,T2MDEW,1999,AUG,22.33,8/1/1999,PRECTOTCORR,1999,AUG,5.27,8/1/1999,PRECTOTCORR_SUM,1999,AUG,232.03,8/1/1999,WS2M,1999,AUG,1.73,8/1/1999,RH2M,1999,AUG,81.75,8/1/1999,QV2M,1999,AUG,17.15,8/1/1999,T2M,1999,AUG,25.94,8/1/1999,WS10M,1999,AUG,2.74,8/1/1999
116,PS,1999,SEP,98.71,9/1/1999,T2MDEW,1999,SEP,22.62,9/1/1999,PRECTOTCORR,1999,SEP,5.27,9/1/1999,PRECTOTCORR_SUM,1999,SEP,205.66,9/1/1999,WS2M,1999,SEP,1.18,9/1/1999,RH2M,1999,SEP,81.88,9/1/1999,QV2M,1999,SEP,17.46,9/1/1999,T2M,1999,SEP,26.16,9/1/1999,WS10M,1999,SEP,1.94,9/1/1999
117,PS,1999,OCT,98.72,10/1/1999,T2MDEW,1999,OCT,20.28,10/1/1999,PRECTOTCORR,1999,OCT,0,10/1/1999,PRECTOTCORR_SUM,1999,OCT,52.73,10/1/1999,WS2M,1999,OCT,1.32,10/1/1999,RH2M,1999,OCT,69.12,10/1/1999,QV2M,1999,OCT,15.32,10/1/1999,T2M,1999,OCT,27.12,10/1/1999,WS10M,1999,OCT,2.12,10/1/1999
118,PS,1999,NOV,98.69,11/1/1999,T2MDEW,1999,NOV,11.54,11/1/1999,PRECTOTCORR,1999,NOV,0,11/1/1999,PRECTOTCORR_SUM,1999,NOV,0,11/1/1999,WS2M,1999,NOV,1.72,11/1/1999,RH2M,1999,NOV,44.25,11/1/1999,QV2M,1999,NOV,8.85,11/1/1999,T2M,1999,NOV,25.97,11/1/1999,WS10M,1999,NOV,2.77,11/1/1999
119,PS,1999,DEC,98.77,12/1/1999,T2MDEW,1999,DEC,4.75,12/1/1999,PRECTOTCORR,1999,DEC,0,12/1/1999,PRECTOTCORR_SUM,1999,DEC,0,12/1/1999,WS2M,1999,DEC,2.32,12/1/1999,RH2M,1999,DEC,33.5,12/1/1999,QV2M,1999,DEC,5.55,12/1/1999,T2M,1999,DEC,23.15,12/1/1999,WS10M,1999,DEC,3.7,12/1/1999
120,PS,2000,JAN,98.6,1/1/2000,T2MDEW,2000,JAN,5.87,1/1/2000,PRECTOTCORR,2000,JAN,0,1/1/2000,PRECTOTCORR_SUM,2000,JAN,0,1/1/2000,WS2M,2000,JAN,2.45,1/1/2000,RH2M,2000,JAN,30.5,1/1/2000,QV2M,2000,JAN,6.1,1/1/2000,T2M,2000,JAN,26.06,1/1/2000,WS10M,2000,JAN,3.69,1/1/2000
121,PS,2000,FEB,98.84,2/1/2000,T2MDEW,2000,FEB,-1.03,2/1/2000,PRECTOTCORR,2000,FEB,0,2/1/2000,PRECTOTCORR_SUM,2000,FEB,0,2/1/2000,WS2M,2000,FEB,3.33,2/1/2000,RH2M,2000,FEB,19.25,2/1/2000,QV2M,2000,FEB,3.6,2/1/2000,T2M,2000,FEB,24.97,2/1/2000,WS10M,2000,FEB,4.8,2/1/2000
